Time,PV (kW),Load (kW)
0:00,0,0.7
0:15,0,0.46
0:30,0,0.3
0:45,0,0.7
1:00,0,0.46
1:15,0,0.3
1:30,0,0.7
1:45,0,0.46
2:00,0,0.7
2:15,0,0.3
2:30,0,0.46
2:45,0,0.7
3:00,0,0.3
3:15,0,0.86
3:30,0,0.3
3:45,0,0.3
4:00,0,0.86
4:15,0,0.3
4:30,0,0.3
4:45,0,0.86
5:00,0,0.3
5:15,0,0.7
5:30,0,0.46
5:45,0,0.3
6:00,0,0.7
6:15,0,0.46
6:30,0,0.7
6:45,0,0.3
7:00,0,3.42
7:15,0,2.78
7:30,0.0377226666666666,0.36
7:45,0.818840000000001,0.94
8:00,1.48793333333334,1.72
8:15,1.90804533333333,1.427
8:30,2.25749333333334,1.759
8:45,2.51330933333333,1.197
9:00,3.04333333333334,1.192
9:15,3.262688,1.752
9:30,3.78661066666667,1.186
9:45,4.500584,1.598
10:00,6.35242666666667,1.352
10:15,9.24499399999999,1.207
10:30,11.03729,1.579
10:45,13.406338,1.349
11:00,14.708826,1.19
11:15,15.65729,1.571
11:30,18.06046,1.317
11:45,18.21094,1.584
12:00,17.537564,1.176
12:15,15.612608,1.339
12:30,17.403452,1.565
12:45,17.388668,1.17
13:00,12.447138,1.767
13:15,9.72936799999998,1.269
13:30,8.772258,1.637
13:45,8.88949600000001,2.181
14:00,9.229352,1.592
14:15,9.14779800000001,1.527
14:30,8.847938,2.262
14:45,6.57434066666666,1.494
15:00,6.01210133333334,1.911
15:15,5.210392,1.845
15:30,4.588584,1.501
15:45,3.792162,2.425
16:00,3.46567466666666,2.829
16:15,2.86648266666667,3.448
16:30,1.889712,2.708
16:45,0.667069333333334,3.051
17:00,0.120970666666667,3.217
17:15,0,2.909
17:30,0,2.902
17:45,0,2.161
18:00,0,2.275
18:15,0,2.761
18:30,0,2.406
18:45,0,2.214
19:00,0,4.744
19:15,0,2.632
19:30,0,2.67
19:45,0,4.36
20:00,0,4.08
20:15,0,4.24
20:30,0,2.2
20:45,0,2.04
21:00,0,2.44
21:15,0,0.82
21:30,0,3.28
21:45,0,2.82
22:00,0,2.14
22:15,0,1.72
22:30,0,0.3
22:45,0,0.86
23:00,0,0.3
23:15,0,0.3
23:30,0,0.86
23:45,0,0.3
